R,G,B,Plant,Ref,measure,PPFD,Type,Hours per day, Total Days,Fresh weight (g),Plant height (cm),FW(%),PH(%)
100,0,0,Oncidium,FL (control),Plant Height,50,1,24,30,,3.925,,22.656%
0,0,100,Myrtus communis,Control light,Fresh Weight,35,1,24,42,0.2756,,53.367%,
